,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Weather
151,kununurra,90,au,1554566400,88,-15.77,128.74,77.0,7.65,Clouds
152,castro,90,cl,1554562800,93,-42.48,-73.76,53.6,14.99,Clouds
153,hobart,0,au,1554567369,76,-42.88,147.33,48.67,8.05,Clear
154,takoradi,0,gh,1554567785,88,4.89,-1.75,86.03,10.89,Clear
155,sinnamary,92,gf,1554567786,94,5.38,-52.96,80.54,11.68,Clouds
156,nome,90,us,1554567755,88,30.04,-94.42,72.79,5.82,Rain
157,keetmanshoop,0,na,1554562800,10,-26.57,18.15,89.6,6.93,Clear
158,verkhnyaya toyma,0,ru,1554567788,74,62.24,45.0,39.77,3.18,Clear
159,qandala,0,so,1554567789,60,11.47,49.87,81.8,2.17,Clear
160,ponta grossa,80,br,1554567790,100,-25.09,-50.16,71.9,9.55,Rain
161,mount gambier,75,au,1554562800,93,-37.83,140.78,46.4,5.82,Clouds
162,nhulunbuy,75,au,1554566400,88,-12.18,136.78,78.8,6.93,Clouds
163,eyl,0,so,1554567792,82,7.98,49.82,82.97,8.77,Clear
164,peniche,40,pt,1554567642,66,39.36,-9.38,55.94,12.75,Clouds
165,sassandra,12,ci,1554567793,94,4.95,-6.09,84.77,14.58,Clouds
166,xichang,0,cn,1554567794,86,27.88,102.25,38.96,1.72,Clear
167,deputatskiy,68,ru,1554567795,79,69.3,139.9,7.37,2.73,Clouds
168,ciudad bolivar,0,ve,1554567795,46,8.12,-63.55,89.36,10.67,Clear
169,chiredzi,12,zw,1554567796,51,-21.05,31.67,84.95,12.68,Clouds
170,naze,24,jp,1554567797,100,28.37,129.48,70.55,9.78,Clouds
171,chapais,90,ca,1554566280,74,49.78,-74.86,35.6,12.75,Clouds
172,cidreira,100,br,1554567798,92,-30.17,-50.22,71.36,7.65,Rain
173,nurota,0,uz,1554564600,68,40.56,65.69,64.4,6.93,Clear
174,saint-francois,20,gp,1554564600,45,16.25,-61.27,86.0,17.22,Clouds
175,pevek,8,ru,1554567801,71,69.7,170.27,1.34,7.87,Clear
176,komsomolskiy,92,ru,1554567801,92,67.55,63.78,28.07,23.98,Clouds
177,palana,0,ru,1554567802,74,59.08,159.95,19.25,4.18,Clear
178,shujalpur,0,in,1554564600,21,23.4,76.72,89.6,9.17,Clear
179,mayya,0,ru,1554564600,58,61.74,130.28,28.4,6.71,Clear
180,khoy,48,ir,1554567804,100,38.55,44.95,44.63,3.18,Rain
181,ilulissat,75,gl,1554565800,47,69.22,-51.1,37.4,27.51,Clouds
182,guerrero negro,80,mx,1554567805,88,27.97,-114.04,60.38,12.46,Rain
183,liuhe,0,cn,1554567806,42,42.28,125.73,27.08,4.18,Clear
184,bambous virieux,75,mu,1554567541,74,-20.34,57.76,77.86,11.41,Rain
185,puerto colombia,0,co,1554567339,62,10.99,-74.96,85.57,5.82,Clear
186,curup,36,id,1554567809,94,-3.47,102.53,71.81,0.72,Clouds
187,ribeira grande,40,pt,1554566400,82,38.52,-28.7,62.6,23.04,Clouds
188,neiafu,75,to,1554562800,94,-18.65,-173.98,78.8,2.24,Clouds
189,teya,48,ru,1554567811,67,60.37,92.63,33.47,7.99,Clouds
190,vilhena,90,br,1554562800,88,-12.74,-60.15,69.8,8.05,Clouds
191,hami,80,cn,1554567812,34,42.84,93.51,58.4,6.31,Clouds
192,victoria,40,sc,1554562800,70,-4.62,55.45,86.0,3.36,Clouds
193,sao filipe,0,cv,1554567814,91,14.9,-24.5,72.44,19.73,Clear
194,chara,36,ru,1554567814,79,56.9,118.26,10.7,2.17,Clouds
195,upernavik,32,gl,1554567815,85,72.79,-56.15,31.22,22.08,Clouds
196,port blair,0,in,1554567816,99,11.67,92.75,85.04,8.55,Clear
197,sao geraldo do araguaia,80,br,1554567778,79,-6.4,-48.55,84.5,4.18,Clouds
198,dzilam gonzalez,8,mx,1554567818,58,21.28,-88.93,86.03,7.65,Clear
199,katsuura,20,jp,1554566702,71,33.93,134.5,53.11,4.7,Clouds
200,sungaipenuh,68,id,1554567733,95,-2.08,101.38,68.66,1.28,Clouds
201,grindavik,90,is,1554566400,65,63.84,-22.43,41.94,12.75,Clouds
202,omaruru,0,na,1554567821,22,-21.42,15.95,82.61,10.67,Clear
203,kruisfontein,0,za,1554567822,75,-34.0,24.73,67.4,16.49,Clear
204,impfondo,32,cg,1554567822,57,1.64,18.07,90.62,3.4,Clouds
205,kavieng,76,pg,1554567823,100,-2.57,150.8,83.15,9.22,Rain
206,hithadhoo,20,mv,1554567824,100,-0.6,73.08,84.5,7.31,Clouds
